FixtureName,Position,XP,InsertDateRounded,current,voltage,pd_current,tempC,Time,SN
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.033492,0.839,1.1728e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.033799,0.839,1.1882099999999999e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.033983,0.839,1.20357e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.034228,0.84,0.00012189299999999999,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.034534999999999996,0.84,1.23419e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.034719,0.841,1.2494499999999998e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.035025,0.841,1.26471e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.035209000000000004,0.842,1.27997e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.035516,0.843,1.29513e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.03582200000000001,0.843,1.31028e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.035945,0.844,1.32534e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.03619,0.844,1.3403899999999997e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.036497,0.845,1.35545e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.036742,0.845,1.3704499999999997e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.036987000000000006,0.846,1.3854499999999998e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.037171,0.847,1.4005099999999998e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.037478000000000004,0.847,1.41556e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.037723,0.848,1.43056e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.037968,0.848,1.44557e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.038214,0.848,1.46062e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.03845900000000001,0.849,1.47562e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.038704,0.85,1.49068e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.038950000000000005,0.85,1.50568e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.039195,0.851,1.5206299999999997e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.039379,0.851,1.53564e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.039685000000000005,0.852,1.5505899999999998e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.039931,0.853,1.56554e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.040176,0.853,1.58044e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.04036,0.854,1.59534e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.040666,0.854,1.61019e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.040912,0.855,1.6249899999999998e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.041157,0.856,1.63984e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.041341,0.856,1.65464e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.041586,0.856,1.6694399999999998e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.04183100000000001,0.857,1.6842799999999998e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.042138,0.857,1.6990799999999997e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.042383000000000004,0.859,1.71388e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.042567,0.859,1.72863e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.042874,0.859,1.7433799999999998e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.043119,0.86,1.75817e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.043364,0.86,1.7729699999999998e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.043548,0.861,1.7877699999999997e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.043855,0.861,1.80252e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.0441,0.862,1.81726e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.044345,0.862,1.83201e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.044591,0.863,1.84671e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.044836,0.864,1.8613999999999998e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.045081,0.864,1.87615e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.045326,0.865,1.8909e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.04563300000000001,0.865,1.9056399999999997e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.045817000000000004,0.865,1.92029e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.046001,0.867,1.9349299999999999e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.046307,0.867,1.9495799999999999e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.046553,0.868,1.96422e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.046737,0.868,1.97887e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.047043,0.868,1.9935099999999998e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.047288,0.868,2.0081099999999999e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.047595,0.869,2.0226499999999998e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.047779,0.87,2.03709e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.048086,0.87,2.05148e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.048331000000000006,0.871,2.06586e-4,40,7500,71026[10]-21-K-10
